id,area,nombre,pregunta,unidad,direccion,agregacion,grano_min,cube,roles_minimos,relacionados
FIN-17,finanzas,"Costo de cobro (comisiones de pasarelas, marketplaces y financiación)",¿Cuánto nos cuesta cobrar lo que vendemos?,porcentaje,menor_mejor,ratio,dia,cobros.costo_cobro_pct,pasarela_pagos,VEN-09
FIN-18,finanzas,Conciliación con registro fiscal oficial,¿Todo lo registrado ante la autoridad fiscal está en el sistema de gestión y viceversa?,cantidad | moneda,menor_mejor (debe ser 0),aditivo,dia,control.conciliacion_fiscal,facturacion; registro_fiscal_oficial,FIN-01|FIN-21
FIN-19,finanzas,Desvío vs presupuesto (EERR),¿Cómo venimos contra el presupuesto en cada línea del resultado?,moneda | porcentaje,"depende de la línea (ingresos mayor_mejor, gastos menor_mejor)",aditivo (importes) / ratio (%),mes,presupuesto.desvio_eerr,presupuesto; contabilidad o facturacion+ventas,FIN-01|VEN-07
FIN-20,finanzas,Punto de equilibrio,¿Cuánto necesitamos vender por mes para no perder plata?,moneda,menor_mejor,calculado,mes,eerr.punto_equilibrio,contabilidad o facturacion+ventas,FIN-05|VEN-24
FIN-21,finanzas,Posición estimada de impuesto indirecto,¿Cuánto impuesto indirecto (valor agregado / ventas) vamos a tener que pagar este período?,moneda,neutral,aditivo,mes,impuestos.posicion_iva,facturacion,FIN-16|FIN-18
FIN-22,finanzas,Evolución real de gastos por categoría,¿Qué gastos crecen por encima de la inflación?,moneda | porcentaje,menor_mejor,aditivo / ratio,mes,eerr.gastos_operativos (ajuste='real'),referencia_indice_precios; contabilidad o facturacion,FIN-04
VEN-01,ventas,Venta neta,¿Cuánto vendimos?,moneda,mayor_mejor,aditivo,dia,ventas.venta_neta,ventas,FIN-01|VEN-06|VEN-24
VEN-02,ventas,Cantidad de pedidos,¿Cuántas ventas/pedidos hicimos?,cantidad,mayor_mejor,aditivo (distinct por grano),dia,ventas.pedidos,ventas,VEN-03
VEN-03,ventas,Ticket promedio,¿Cuánto gasta en promedio cada pedido?,moneda,mayor_mejor,ratio,dia,ventas.ticket_promedio,ventas,VEN-01|VEN-04
VEN-04,ventas,Unidades vendidas y unidades por pedido,¿Cuántas unidades vendimos y cuántas lleva cada pedido?,unidades,mayor_mejor,aditivo / ratio,dia,"ventas.unidades, ventas.unidades_por_pedido",ventas,INV-05
VEN-05,ventas,Mix y participación por canal,¿Qué porcentaje de la venta viene de cada canal?,porcentaje,neutral,ratio,dia,ventas.venta_neta (share calculado en MCP con `comparar='share'`),ventas,VEN-09
VEN-06,ventas,Crecimiento de ventas (nominal y real),¿Crecemos? ¿Y por encima de la inflación?,porcentaje,mayor_mejor,calculado,dia,ventas.venta_neta con comparación (time dimension compareDateRange),ventas,VEN-01|FIN-22
VEN-07,ventas,Cumplimiento de presupuesto / cuota,¿Qué porcentaje del objetivo llevamos?,porcentaje,mayor_mejor,ratio,mes,presupuesto.cumplimiento_ventas,presupuesto; ventas,FIN-19|VEN-24
VEN-08,ventas,Margen bruto comercial por producto/categoría,¿Qué productos y categorías nos dejan más margen?,moneda | porcentaje,mayor_mejor,aditivo / ratio,dia,"ventas.margen_bruto, ventas.margen_bruto_pct",ventas,FIN-03|VEN-09|INV-11
VEN-09,ventas,Margen de contribución por canal,"¿Qué canal es realmente rentable después de comisiones, envío y financiación?",moneda | porcentaje,mayor_mejor,aditivo / ratio,dia,"ventas.contribucion, ventas.contribucion_pct",ventas,VEN-05|FIN-17|LOG-12
VEN-10,ventas,Clientes activos,¿Cuántos clientes distintos nos compraron?,cantidad,mayor_mejor,no_aditivo (distinct),dia,clientes.activos,ventas,VEN-11|VEN-12
VEN-11,ventas,Clientes nuevos y participación de nuevos en la venta,¿Cuántos clientes nuevos ganamos y cuánto aportan?,cantidad | porcentaje,mayor_mejor,aditivo (nuevos) / ratio,dia,"clientes.nuevos, ventas.pct_venta_nuevos",ventas,MKT-08
VEN-12,ventas,Tasa de recompra,¿Qué porcentaje de clientes vuelve a comprar?,porcentaje,mayor_mejor,calculado,mes,"clientes.tasa_recompra, cohortes.recompra_n_dias",ventas,VEN-13|VEN-14|VEN-15
VEN-13,ventas,Frecuencia de compra,¿Cada cuántos días nos compra un cliente?,ratio | dias,mayor_mejor (frecuencia),calculado,mes,"clientes.frecuencia, clientes.dias_entre_compras",ventas,VEN-12|VEN-15
VEN-14,ventas,LTV (valor de vida del cliente),¿Cuánto margen nos deja un cliente a lo largo del tiempo?,moneda,mayor_mejor,calculado por cohorte,mes,clientes.ltv_12m,ventas,MKT-09
VEN-15,ventas,Churn de clientes (B2B / recurrentes),¿Cuántos clientes dejaron de comprarnos?,porcentaje | cantidad,menor_mejor,calculado,mes,"clientes.churn, clientes.en_riesgo",ventas,VEN-12|VEN-23
VEN-16,ventas,Tasa de devolución,¿Qué porcentaje de lo vendido nos devuelven y por qué?,porcentaje,menor_mejor,ratio,dia,"devoluciones.tasa_unidades, devoluciones.tasa_importe",ventas,LOG-15|LOG-18
VEN-17,ventas,Tasa de cancelación,¿Qué porcentaje de pedidos se cancela?,porcentaje,menor_mejor,ratio,dia,ventas.tasa_cancelacion,ventas,INV-06|LOG-14
VEN-18,ventas,Descuento promedio,¿Cuánto estamos descontando sobre precio de lista?,porcentaje,menor_mejor,ratio,dia,ventas.descuento_pct,ventas,VEN-08
VEN-19,ventas,Pipeline abierto y ponderado,¿Cuánto negocio tenemos en juego en el CRM?,moneda,mayor_mejor,snapshot,dia,"crm.pipeline_abierto, crm.pipeline_ponderado",crm,VEN-20|VEN-21|VEN-22
VEN-20,ventas,Tasa de cierre (win rate),¿Qué porcentaje de oportunidades ganamos?,porcentaje,mayor_mejor,ratio,mes,crm.win_rate,crm,VEN-19|MKT-16
VEN-21,ventas,Ciclo de venta,¿Cuántos días tarda en cerrarse una venta?,dias,menor_mejor,mediana,mes,crm.ciclo_venta_dias,crm,VEN-22
VEN-22,ventas,Velocidad de pipeline,¿Cuánto dinero por día genera nuestro pipeline?,moneda por día,mayor_mejor,calculado,mes,crm.velocidad_pipeline,crm,VEN-19|VEN-20|VEN-21
VEN-23,ventas,Concentración de ventas (Pareto clientes/productos),¿Dependemos de pocos clientes o productos?,porcentaje,menor_mejor,calculado,mes,ventas.concentracion,ventas,VEN-15|INV-12
VEN-24,ventas,Proyección de cierre de mes,¿Cuánto vamos a vender a fin de mes al ritmo actual?,moneda,mayor_mejor,calculado,dia,"ventas.proyeccion_mes (mart marts.ven__proyeccion_mes, recalculado diario)",ventas,VEN-07|FIN-20
VEN-25,ventas,Productividad por vendedor,¿Cómo rinde cada vendedor?,varias,mayor_mejor,vista,mes,view vendedores_scorecard,ventas,VEN-07
VEN-26,ventas,Rendimiento de promociones (ROI),¿Las promociones nos hacen ganar o perder plata?,ratio | moneda | porcentaje,mayor_mejor,calculado,mes,"promociones.roi, promociones.margen_incremental",promociones; ventas,VEN-08|VEN-18
VEN-27,ventas,Productos con margen bajo el mínimo,¿Cuántos productos estamos vendiendo por debajo del margen que definimos (o del costo)?,cantidad | porcentaje,menor_mejor,snapshot,dia,precios.productos_bajo_margen,precios_venta; precios_compra o ventas,FIN-03|VEN-08
INV-01,inventario,Valor del inventario,¿Cuánta plata tenemos en stock?,moneda,neutral,snapshot,dia,stock.valor,inventario,INV-03|INV-09
INV-02,inventario,Unidades en stock y SKUs con stock,¿Cuántas unidades y cuántos productos distintos tenemos disponibles?,unidades | cantidad,neutral,snapshot,dia,"stock.unidades_disponibles, stock.skus_con_stock",inventario,INV-06
INV-03,inventario,Rotación de inventario,¿Cuántas veces al año renovamos el stock?,veces,mayor_mejor,calculado,mes,stock.rotacion_anual,inventario,INV-04|INV-11
INV-04,inventario,Días de inventario (DIO),¿Para cuántos días de venta nos alcanza el stock (en valor)?,dias,menor_mejor (dentro de un rango sano),calculado,mes,stock.dio,inventario,INV-03|FIN-14
INV-05,inventario,Cobertura de stock por SKU (días),¿Para cuántos días nos alcanza el stock de cada producto?,dias,neutral (rango objetivo por clasificación ABC),calculado por SKU (no promediar; usar mediana ponderada por venta al agregar),dia,stock.cobertura_dias,inventario; ventas,INV-06|INV-10|INV-15
INV-06,inventario,Tasa de quiebre de stock,¿Qué porcentaje de nuestros productos está sin stock?,porcentaje,menor_mejor,ratio (snapshot) / promedio diario en períodos,dia,"stock.tasa_quiebre, stock.tasa_quiebre_ponderada",inventario; ventas,INV-07|VEN-17
INV-07,inventario,Venta perdida estimada por quiebre,¿Cuánta venta perdimos por no tener stock?,moneda,menor_mejor,aditivo,dia,stock.venta_perdida,inventario; ventas,INV-06
INV-08,inventario,Fill rate (tasa de cumplimiento de pedidos),¿Qué porcentaje de lo que nos piden podemos entregar completo?,porcentaje,mayor_mejor,ratio,dia,stock.fill_rate,ventas,LOG-07
INV-09,inventario,Stock inmovilizado (sin movimiento),¿Cuánta plata tenemos en productos que no se venden?,moneda | cantidad,menor_mejor,snapshot,dia,stock.valor_inmovilizado,inventario; ventas,INV-10|INV-01
INV-10,inventario,Sobrestock,¿Qué productos tienen más stock del necesario?,moneda,menor_mejor,snapshot,dia,stock.valor_sobrestock,inventario; ventas,INV-05|INV-09
INV-11,inventario,GMROI,¿Cuánto margen bruto nos devuelve cada unidad de moneda invertida en stock?,ratio,mayor_mejor,calculado,mes,stock.gmroi,inventario; ventas,INV-03|VEN-08
INV-12,inventario,Clasificación ABC (y XYZ),¿Cuáles son los productos que más importan?,categoría,neutral,dimensión,mes,productos.clasificacion_abc (dimensión) + conteos,ventas,INV-05|INV-06|VEN-23
INV-13,inventario,Exactitud de inventario,¿El stock del sistema coincide con el físico?,porcentaje,mayor_mejor,ratio,dia,stock.exactitud_inventario,inventario,INV-14
INV-14,inventario,Ajustes y mermas,"¿Cuánto stock perdemos por ajustes, roturas o faltantes?",moneda | porcentaje,menor_mejor,aditivo / ratio,dia,"stock.valor_ajustes, stock.merma_pct",inventario,INV-13
INV-15,inventario,SKUs a reponer (bajo punto de pedido),¿Qué tenemos que comprar ya?,cantidad | moneda,menor_mejor,snapshot,dia,"reposicion.skus_a_reponer, reposicion.valor_sugerido",inventario; ventas,INV-05|INV-16|INV-17
INV-16,inventario,Cumplimiento de proveedores (OTIF proveedor),¿Los proveedores entregan a tiempo y completo?,porcentaje,mayor_mejor,ratio,mes,compras.otif_proveedor,compras,INV-17
INV-17,inventario,Lead time real de proveedores,¿Cuánto tardan de verdad los proveedores en entregar?,dias,menor_mejor,mediana,mes,"compras.lead_time_mediana, compras.lead_time_p90",compras,INV-15|INV-16
INV-18,inventario,Sell-through,¿Qué porcentaje de lo que recibimos ya vendimos?,porcentaje,mayor_mejor,ratio,semana,stock.sell_through,inventario; ventas,INV-09
INV-19,inventario,Compras en tránsito / OC abiertas,¿Cuánto tenemos comprado que todavía no llegó?,moneda,neutral,snapshot,dia,"compras.valor_oc_abiertas, compras.valor_oc_atrasadas",compras,INV-15|FIN-13
INV-20,inventario,Stock en riesgo de vencimiento,¿Cuánta mercadería se nos puede vencer antes de venderla?,moneda,menor_mejor,snapshot,dia,stock.valor_riesgo_vencimiento,ventas; lotes_vencimientos o compras+inventario,INV-14|INV-09
INV-21,inventario,Quiebres ocultos (falta en góndola),¿Cuántos productos dejamos de vender por no estar exhibidos aunque había stock?,cantidad | porcentaje | moneda,menor_mejor,aditivo / ratio,dia,actividades.quiebres_ocultos,inventario; ventas,INV-06|INV-07|INV-13
LOG-01,logistica,Envíos despachados,¿Cuántos pedidos despachamos?,cantidad,mayor_mejor,aditivo,dia,envios.despachados,logistica,LOG-14
LOG-02,logistica,Tiempo de preparación,¿Cuánto tardamos desde que se confirma el pedido hasta que está listo para despachar?,horas,menor_mejor,percentil,dia,"envios.horas_preparacion_p50, envios.horas_preparacion_p90",logistica,LOG-03|LOG-16
LOG-03,logistica,Despacho a tiempo,¿Qué porcentaje de pedidos despachamos dentro del plazo comprometido?,porcentaje,mayor_mejor,ratio,dia,envios.despacho_a_tiempo_pct,logistica,LOG-02|LOG-14
LOG-04,logistica,Lead time total de entrega,¿Cuántos días tarda el cliente en recibir su pedido desde que compra?,dias,menor_mejor,percentil,dia,"envios.lead_time_p50, envios.lead_time_p90",logistica,LOG-05|LOG-06
LOG-05,logistica,Tiempo de tránsito,¿Cuánto tarda el transportista desde que retira hasta que entrega?,dias,menor_mejor,percentil,dia,"envios.transito_p50, envios.transito_p90",logistica,LOG-17
LOG-06,logistica,Entregas a tiempo (OTD),¿Qué porcentaje de pedidos llegó en la fecha prometida al cliente?,porcentaje,mayor_mejor,ratio,dia,envios.otd_pct,logistica,LOG-07
LOG-07,logistica,OTIF (a tiempo y completo),"¿Qué porcentaje de pedidos llegó a tiempo, completo y sin error?",porcentaje,mayor_mejor,ratio,dia,envios.otif_pct,logistica; ventas,LOG-06|INV-08
LOG-08,logistica,Entrega en primer intento,¿Qué porcentaje de envíos se entrega en la primera visita?,porcentaje,mayor_mejor,ratio,dia,envios.primer_intento_pct,logistica,LOG-09
LOG-09,logistica,Envíos fallidos / devueltos a origen,¿Qué porcentaje de envíos no llega al cliente?,porcentaje,menor_mejor,ratio,dia,envios.fallidos_pct,logistica,LOG-08|LOG-10
LOG-10,logistica,Envíos extraviados o siniestrados,¿Cuántos envíos se pierden o llegan rotos?,porcentaje | moneda,menor_mejor,ratio / aditivo,mes,"envios.siniestros_pct, envios.valor_siniestros",logistica; ventas,LOG-09|LOG-17
LOG-11,logistica,Costo de envío por pedido,¿Cuánto nos cuesta en promedio enviar un pedido?,moneda,menor_mejor,ratio,dia,"envios.costo_por_envio, envios.costo_por_kg",logistica,LOG-12|LOG-13
LOG-12,logistica,Costo logístico sobre venta,¿Qué porcentaje de lo que vendemos se va en logística?,porcentaje,menor_mejor,ratio,dia,envios.costo_logistico_pct,logistica; ventas,VEN-09|LOG-13
LOG-13,logistica,Subsidio de envío,¿Cuánto ponemos de nuestro bolsillo en envíos gratis?,moneda | porcentaje,menor_mejor,aditivo / ratio,dia,"envios.subsidio, envios.pct_envio_gratis",logistica,LOG-12
LOG-14,logistica,Backlog de despacho,¿Cuántos pedidos están pendientes de despachar y cuántos están atrasados?,cantidad,menor_mejor,snapshot,hora,"envios.backlog, envios.backlog_atrasado",logistica; ventas,LOG-03|VEN-17
LOG-15,logistica,Precisión de preparación (picking),¿Qué porcentaje de pedidos preparamos sin errores?,porcentaje,mayor_mejor,ratio,semana,envios.precision_picking_pct,logistica o ventas,VEN-16
LOG-16,logistica,Productividad de preparación,¿Cuántas unidades/pedidos preparamos por hora de trabajo?,unidades/hora,mayor_mejor,ratio,dia,preparacion.unidades_por_hora,logistica,LOG-02
LOG-17,logistica,Scorecard de transportistas,¿Qué transportista funciona mejor y a qué costo?,varias,mayor_mejor,vista,mes,view transportistas_scorecard,logistica,LOG-05|LOG-06|LOG-11
LOG-18,logistica,Logística inversa,¿Cuántas devoluciones físicas gestionamos y cuánto cuestan?,porcentaje | moneda | dias,menor_mejor,ratio / aditivo / mediana,mes,"envios.logistica_inversa_pct, envios.costo_inversa, devoluciones.dias_recepcion",logistica,VEN-16
LOG-19,logistica,Distribución geográfica de envíos,¿A dónde enviamos y cómo nos va en cada zona?,varias,neutral,vista,mes,envios.despachados (dimensiones geográficas),logistica,LOG-17
MKT-01,marketing,Inversión publicitaria,¿Cuánto invertimos en publicidad?,moneda,neutral,aditivo,dia,ads.inversion,publicidad,MKT-07|MKT-22
MKT-02,marketing,Impresiones y CPM,¿Cuánta gente vio nuestros anuncios y a qué costo?,cantidad | moneda,menor_mejor (CPM),aditivo / ratio,dia,"ads.impresiones, ads.cpm",publicidad,MKT-20
MKT-03,marketing,CTR,¿Qué porcentaje de quienes ven el anuncio hace clic?,porcentaje,mayor_mejor,ratio,dia,ads.ctr,publicidad,MKT-20
MKT-04,marketing,CPC,¿Cuánto nos cuesta cada clic?,moneda,menor_mejor,ratio,dia,ads.cpc,publicidad,MKT-03
MKT-05,marketing,Conversiones y CPA de plataforma,¿Cuántas compras/leads reporta cada plataforma y a qué costo?,cantidad | moneda,menor_mejor (CPA),aditivo dentro de plataforma / ratio,dia,"ads.conversiones_plataforma, ads.cpa_plataforma",publicidad,MKT-06|MKT-08
MKT-06,marketing,ROAS de plataforma,¿Cuánto dice cada plataforma que vendió por cada unidad de moneda invertida?,ratio,mayor_mejor,ratio,dia,ads.roas_plataforma,publicidad,MKT-07
MKT-07,marketing,MER / ROAS real,¿Cuánto vendemos en total por cada unidad de moneda invertida en marketing?,ratio,mayor_mejor,ratio,dia (semana recomendado),"marketing.mer, marketing.roas_real",publicidad; ventas,MKT-06|MKT-08|MKT-22
MKT-08,marketing,CAC (costo de adquisición de cliente),¿Cuánto nos cuesta conseguir un cliente nuevo?,moneda,menor_mejor,ratio,mes,"marketing.cac_blended, marketing.cac_pago",publicidad; ventas,MKT-09|VEN-11
MKT-09,marketing,LTV/CAC y payback,¿Recuperamos lo que invertimos para conseguir clientes? ¿En cuánto tiempo?,ratio | meses,mayor_mejor (ltv_cac) / menor_mejor (payback),calculado por cohorte,mes,"marketing.ltv_cac, marketing.payback_meses",publicidad; ventas,VEN-14|MKT-08
MKT-10,marketing,Sesiones web y mix de tráfico,¿Cuántas visitas tuvo el sitio y de dónde vienen?,cantidad,mayor_mejor,aditivo (sesiones) — usuarios NO aditivo,dia,web.sesiones,analitica_web,MKT-11|MKT-21
MKT-11,marketing,Tasa de conversión web,¿Qué porcentaje de visitas termina en compra?,porcentaje,mayor_mejor,ratio,dia,web.tasa_conversion,analitica_web,MKT-12
MKT-12,marketing,Funnel e-commerce,¿En qué paso del recorrido perdemos compradores?,porcentaje,mayor_mejor,ratio,dia,web.funnel_*,analitica_web,MKT-11|MKT-13
MKT-13,marketing,Abandono de carrito,¿Cuántos carritos no terminan en compra?,porcentaje,menor_mejor,ratio,dia,web.abandono_carrito,analitica_web,MKT-12
MKT-14,marketing,Venta atribuida por canal de marketing,¿Qué canales de marketing traen las ventas?,moneda | cantidad,neutral,aditivo,dia,"ventas.venta_neta (dimensión canal_marketing, modelo)",ventas; ventas (con UTM),MKT-07
MKT-15,marketing,Leads y costo por lead (CPL),¿Cuántos leads generamos y cuánto nos cuesta cada uno?,cantidad | moneda,menor_mejor (CPL),aditivo / ratio,dia,"leads.cantidad, leads.cpl, ads.cpl_plataforma",crm o analitica_web o publicidad,MKT-16
MKT-16,marketing,Conversión de leads (lead → calificado → cliente) y velocidad de contacto,¿Cuántos leads se convierten en clientes y qué tan rápido los atendemos?,porcentaje | minutos,mayor_mejor (conversión) / menor_mejor (tiempo),ratio / mediana,semana,"leads.pct_calificado, leads.pct_convertido, leads.minutos_primer_contacto",crm,MKT-15|VEN-20
MKT-17,marketing,Rendimiento de email marketing,¿Funcionan nuestros emails?,porcentaje | moneda,mayor_mejor (salvo bajas),ratio,dia,"email.open_rate, email.ctr, email.unsub_rate, email.ingresos_por_mil",email_marketing,MKT-18
MKT-18,marketing,Crecimiento de la base de suscriptores,¿Crece nuestra base de contactos?,cantidad | porcentaje,mayor_mejor,snapshot / aditivo,dia,"email.suscriptores, email.altas_netas",email_marketing,MKT-17
MKT-19,marketing,Distribución de inversión y eficiencia por plataforma,¿Cómo repartimos el presupuesto y dónde rinde más?,varias,neutral,vista,semana,view marketing_scorecard,publicidad,MKT-07|MKT-08
MKT-20,marketing,Frecuencia y fatiga creativa,¿Estamos saturando a la audiencia con los mismos anuncios?,ratio | cantidad,menor_mejor,calculado,semana,"ads.frecuencia, ads.anuncios_fatigados",publicidad,MKT-03
MKT-21,marketing,Peso del tráfico orgánico,¿Cuánto del tráfico y la venta no depende de pagar publicidad?,porcentaje,mayor_mejor,ratio,semana,"web.pct_organico, ventas.pct_venta_no_paga",analitica_web o ventas (con UTM),MKT-10|MKT-14
MKT-22,marketing,Inversión en marketing sobre ventas,¿Qué porcentaje de la venta reinvertimos en marketing?,porcentaje,neutral (objetivo tenant),ratio,mes,marketing.inversion_pct_venta,publicidad; ventas,MKT-07|FIN-04
